username,comment,videoid,title,views,likes,dislikes,polarity,label
SuperrNova,"This wasn't a rewind.
This was a repost.",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
Exponble,Youtube is like that one teacher who tries to act cool but fails miserably.,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,-0.3125,negative
TheBegottenWarrior,"Jesus, last year they had so much hate that they didn't even try this year.",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,-0.4,negative
Beaner Boy,Nice Top 10 video but where’s YouTube Rewind 2019??,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.55,positive
Chib 7,Even YouTube is stealing other people’s content.,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,-0.125,negative
h4ck7rm4n,"this isn’t necessarily bad but unfortunately it does come off as lazy 😐 it’s basically a glorified top ten video. you can do better than this youtube

like if u have small pp",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,-0.09999999999999996,negative
Aria Bakhtiar,"2018: Worst Youtube Rewind
2019: No Budget Youtube Rewind",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,-1.0,negative
David Senpaíツ,"Youtube: We did our job

Us: But you didn't do anything

youtube: Exactly",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.25,positive
MontyMarioBros,"2 million dislikes in just 8 hours,

never done before.",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
AshAxxion,Okay but where is PewDiePie vs tseries that was iconic,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.5,positive
Double A Food Reveiw,"Remember when you had an english project due the next day, and hadn’t even started so you threw together some half - assed project and hoped for the best?


Yeah.",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.14166666666666666,positive
1000 subs With bad vid,"The people: We want a better youtube rewind

YouTube: Puts random clips youtubers together and calls it a day",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
Hatim Piplodwala,Petition for pewdiepie to make rewind again this year because youtube screwed it up again.,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
S K,"YouTube showing most viewed videos on rewind
All the random ads: Are we a joke to you?",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
JDubL,"If YouTube used other creators videos, Can the creators copystrike YouTube?",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,-0.125,negative
Blake Vollbrecht,giving pewdiepie actual screen time in front of non-pewdiepie viewers was the only reason anyone liked youtube rewinds of the past,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0875,positive
Vishnu Madhavan,Now I feel like rewind just lost its magic. Sorry.,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
Nite2Bright,"What’s with everyone using 
Everyone:",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
Sad Excuse Of a Human,"We did it boys, Pewdiepie in youtube rewind 2019.",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
Definitely not fake YouTube worker,This is the laziest rewind I've ever watched in my entire life,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
Ben Shanafelt,"This makes me so sad... Yeah, creators were highlighted... but their creativeness... maybe not so much. I know it costs a lot of time and energy, but I miss the rewinds of years past, with the youtubers actually being in the video, rather than their videos in the video.",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,-0.1375,negative
TREE Wicked,"2018 we made something you didn’t like

2019 we made something you still didn’t like",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
Shelby Segall,"YouTube: ""To BTS for getting the biggest 24 hour debut""
Also YouTube: deleted their views",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
LovingPrinceTamayuki,So... I think I missed the part I was supposed to enjoy... Question: why did you think this was gonna be good?,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.55,positive
Kookie Maknae,"Dont mind me, just a non copy paste comment passing by.",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
ᴀʀʏʏʏ ღ,So rewind 2019 is just stealing other people's videos?,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,-0.125,negative
Absalon Atanacio,Only reason why I watched this is to see if they put Felix and Marzia’s wedding Thass it,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.0,neutral
Jordan AI,"2018: tried too hard
2019: didnt try at all
edit: rip my inbox
edit 2: why are people subbing to me bc of this comment? haha thx ig
edit 2b: you madlads!
edit 69: all these notifications are literally crashing my desktop jesus..!",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.010416666666666657,positive
DAVILTAIC,And rewind 2020 “2019 rewind was the most disliked rewind on YouTube”,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.15,positive
Knowing Brother,"How ironically, a content creator able to have million reach view and like but a master of its own medium unable to make one liked video once a year.",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.30000000000000004,positive
Darshan Mane,"Rewind 2019 will be better , they said.
2.9m likes
7.9m dislikes",Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.5,positive
Alexander Dao,I guess YouTube’s really trying to make history again 😭,Rewind 2019,YouTube Rewind 2019: For the Record | #YouTubeRewind,98205677,3332526,8749993,0.2,positive
